Course Number,Course Title,Description,Class Type (U/G),Semester,Rest,Prerequisites,Credit structure,Instructor,Lecture,Lab,Recitation,Partial Lab,Corequisites,Units
Discovery-focused,,,,,,,,,,,,,,
Special,Subjects,"endResearchendendSTS.URG Undergraduate Research,,,TBA.sUndergraduate research opportunities in the STS Program.No required or recommended textbooksendendend",Undergraduate,Summer,,,,K. Brown,,,,,,Units arranged
"STS.S20,","STS.S21 Special Subject: Science, Technology and Society","Addresses subject matter in Science, Technology and Society that is not offered in the regular curriculum.",Undergraduate,Spring,,,,O. Rollins,,,,,,Units arranged
Research,,"endendSTS.URG Undergraduate Research,,,TBA.sUndergraduate research opportunities in the STS Program.No required or recommended textbooksendendend",Undergraduate,Summer,,,,K. Brown,,,,,,Units arranged
"STS.095,","STS.096 Independent Study in Science, Technology, and Society",",,STS.095:TBA.sSTS.096:TBA.sFor students who wish to pursue special studies or projects with a member of the Program in Science, Technology, and Society. STS.095 is letter-graded; STS.096 is P/D/F.STS.095:No required or recommended textbooksSTS.096:No required or recommended textbooks",Undergraduate,Spring,,,,K. Brown,,,,,,Units arranged
STS.UR,Undergraduate Research,",,,TBA.sUndergraduate research opportunities in the STS Program.No required or recommended textbooks",Undergraduate,Summer,,,,K. Brown,,,,,,Units arranged
STS.URG,Undergraduate Research,",,,TBA.sUndergraduate research opportunities in the STS Program.No required or recommended textbooksendendend",Undergraduate,Summer,,,,K. Brown,,,,,,Units arranged
STS.THT,Undergraduate Thesis Tutorial,",TBA.sNo required or recommended textbooks",Undergraduate,Spring,,,,K. Brown,,,,,,Units arranged
STS.THU,Undergraduate Thesis,",,,TBA.sCompletion of work of the senior major thesis under the supervision of a faculty tutor. Includes gathering materials, preparing draft chapters, giving an oral presentation of thesis progress to faculty evaluators early in the term, and writing and revising the final text. Students meet at the end of the term with faculty evaluators to discuss the successes and limitations of the project. Required of all candidates for an STS degree.No required or recommended textbooks",Undergraduate,Summer,,STS.THT ,,K. Brown,,,,,,Units arranged
Required,Introductory Subjects,endendAdvanced SeminarsendendendendendendendendendendendendendendendendendendendendendendendendendendendendendendSpecial SubjectsendendResearch and Teachingendendendendendendend,Graduate,,,,,,,,,,,
STS.250[J],Social Theory and Analysis,"Same subject as21A.859[J]Major theorists and theoretical schools since the late 19th century. Marx, Weber, Durkheim, Bourdieu, Levi-Strauss, Geertz, Foucault, Gramsci, and others. Key terms, concepts, and debates.",Graduate,Spring,,,3-0-9,S. Helmreich,,,,,,
STS.260,"Introduction to Science, Technology, and Society","sIntensive reading and analysis of major works in historical and social studies of science and technology. Introduction to current methodological approaches, centered around two primary questions: how have science and technology evolved as human activities, and what roles do they play in society? Preparation for graduate work in the field of science and technology studies and introduction to research resources and professional standards.No required or recommended textbooks",Graduate,Fall,,,3-0-9,R. W. Scheffler,"R9-12, E51-393",,,,,
Advanced,Seminars,endendendendendendendendendendendendendendendendendendendendendendendendendendendendendendSpecial SubjectsendendResearch and Teachingendendendendendendend,Graduate,,,,,,,,,,,
STS.310,History of Science,"Intensive reading and analysis of key works in the history and historiography of science. Introduces students to basic interpretive issues, bibliographic sources, and professional standards. Topics change from year to year.",Graduate,Fall,,,3-0-9,R. W. Scheffler,,,,,,
STS.320[J],Environmental Conflict,"Same subject as21A.429[J]Explores the complex interrelationships among humans and natural environments, focusing on non-western parts of the world in addition to Europe and the United States. Use of environmental conflict to draw attention to competing understandings and uses of ""nature"" as well as the local, national and transnational power relationships in which environmental interactions are embedded.  In addition to utilizing a range of theoretical perspectives, subject draws upon a series of ethnographic case studies of environmental conflicts in various parts of the world.",Graduate,Fall,,,3-0-9,C. Walley,,,,,,
STS.330[J],History and Anthropology of Medicine and Biology,"Same subject as21A.319[J]Explores recent historical and anthropological approaches to the study of medicine and biology. Topics might include interaction of disease and society; science, colonialism, and international health; impact of new technologies on medicine and the life sciences; neuroscience and psychiatry; race, biology and medicine. Specific emphasis varies from year to year.",Graduate,Fall,,,3-0-9,"A. Moran-Thomas, R. Scheffler",,,,,,
STS.340,Introduction to the History of Technology,"Introduction to the consideration of technology as the outcome of particular technical, historical, cultural, and political efforts, especially in the United States during the 19th and 20th centuries. Topics include industrialization of production and consumption, development of engineering professions, the emergence of management and its role in shaping technological forms, the technological construction of gender roles, and the relationship between humans and machines.",Graduate,Spring,,,3-0-9,D. Mindell,,,,,,
STS.360[J],Ethnography,"Same subject as21A.829[J]Practicum style course introduces students to ethnographic methods and writing in global health research. Organized around interviewing and observational assignments. Students develop a bibliography of  anthropological and ethnographic writing relevant to their project, and write a short paper about integrating ethnographic methods into a future research project. Preference to HASTS students; open to others with permission of instructor.Staff",Graduate,Spring,,,3-0-9,,,,,,,
STS.412,Quantification,"Surveys research on quantification, the practice of using numerical data and calculation to analyze, order, and control. Begins by examining historical accounts of the rise of quantitative methods and values since c. 1600. Goes on to explore the dynamics and consequences of quantification across a range of modern domains, including science, politics, governance, health, education, crime, law, economic development, finance, and environmental regulation. Readings drawn from STS, history, anthropology, sociology, and philosophy.",Graduate,Spring,,,3-0-9,W. Deringer,,,,,,
STS.414[J],"Risk, Fortune, and Futurity","Same subject as21H.984[J]Exploration of interdisciplinary scholarship on risk, chance, and fortune. Begins with a survey of theoretical approaches to the field, then proceeds chronologically to explore the emergence of risk and its impacts on human life in multiple arenas including economics, politics, culture, environment, science, and technology from the 16th century to the present. Open to undergraduates with permission of instructor; consult department for details.",Graduate,Spring,,,3-0-9,"W. Deringer, C. Horan",,,,,,
STS.417,STS Seminar on the Global South,"Covers Africa and its diaspora, Latin America and the Caribbean, the Middle East, Southeast Asia and Asia, and Oceania. Seeks to explore meanings of science and technology from traditions, experiences, and literatures of these regions; to understand encounters and outcomes of endogenous and inbound ideas, artifacts, and practice; and to engage European and North American science, technology, and society STS in dialogue with these literatures. Provides a global view of STS in an increasingly interconnected world. Focuses on peoples of the Global South as innovative intellectual agents, not just victims of technology or its appropriators.",Graduate,Spring,,,3-0-9,D. Banerjee,,,,,,
STS.421,Graduate Super-Seminar on Global South Cosmologies and Epistemologies,"Team-taught subject that centers Global South cosmologies and epistemologies marginalized by colonization, slavery, and racism across the world. Explores how different societies make sense of and develop knowledges of the physical and animate world, and what it means to be humane within it. Opens up trans-hemispheric conversations between constituencies that seldom talk to each other, each bringing its ways of seeing, thinking, knowing, and doing to the matrix to mutually inform one another. Goal is to build qualitative — not just quantitative — diversity i.e., diversity as method of learning and thinking.",Graduate,Spring,,,3-0-9,C. C. Mavhunga,,,,,,
STS.424[J],"Race, History, and the Built Environment","Same subject as11.244[J]sExamines how the development of the built environment produces and reproduces conceptions of race - sociobiological theories of human difference. Using historical and cross-cultural cases, tracks the social and political lives of material objects, infrastructures, technologies, and architectures using projects of settler colonialism, nation-building, community development and planning, and in post-conflict and post-disaster settings. Analyzes social theories of race, place, space, and materiality; power, identity, and embodiment; and memory, death, and haunting. Explores how conceptions of belonging, citizenship, and exclusion are represented and designed spatially through analysis of examples, such as the appropriation of land for infrastructure programs, the erasure and commemoration of heritage in public spaces, and the use of the built environment to impose colonial ideologies. Limited to 14 students.Erica JamesTextbooks Fall 2024",Graduate,Fall,,,3-0-9,,"W2-5, 1-136",,,,,
STS.425,History of Manufacturing in America,"Introductory survey of fundamental innovations and transitions in American manufacturing from the colonial period to the mid-twentieth century. Primary emphasis on textiles and metalworking, with particular attention to the role of the machine tool industry in the American manufacturing economy. Students taking graduate version are expected to explore the material in greater depth.",Graduate,Spring,,,3-0-9,M. R. Smith,,,,,,
STS.427,The Civil War and the Emergence of Modern America: 1861-1890,",STS.027[J]Using the American Civil War as a baseline, considers what it means to become ""modern"" by exploring the war's material and manpower needs, associated key technologies, and how both influenced the United States' entrance into the age of ""Big Business."" Readings include material on steam transportation, telegraphic communications, arms production, naval innovation, food processing, medicine, public health, management methods, and the mass production of everything from underwear to uniforms – all essential ingredients of modernity. Students taking graduate version complete additional assignments.",Graduate,Fall,,,3-0-9,M. R. Smith,,,,,,
STS.430,"Multi-Species Histories of Plant People, Wild and Cultivated","Examines how centering plants changes our understanding of what it means to be human. Considers how, in response to the naming of the Anthropocene and anxieties over ecological crises, researchers in various fields have turned to plants as central players. Using this as a starting point, explores how researchers have described and re-calibrated relations among plants, humans, and environment, between life and non-life, action and being, subjectivity and autonomy in ways that radically altered ruling epistemologies in a range of disciplines. Looks at how philosophers, farmers, foresters, eco-critics, geographers, botanists, and popular science writers adapted research questions and narratives to incorporate not only plant uses, but plant intelligence and sentience.",Graduate,Spring,,,3-0-9,K. Brown,,,,,,
STS.432[J],Narrating the Anthropocene: Understanding a Multi-Species Universe,"Same subject as21H.990[J]sExamines human concern about the planet and how that fixation shapes concepts of time & space, knowledge-production, understandings of what it means to be human and non-human, as well as trends in scholarship, art, culture & politics. Indexes the way numerous actors and institutions came to understand, debate & narrate the Anthropocene, a geological epoch defined by human-induced climate change. Explores how it as a concept has opened up new ways of understanding relations within the planet, including care, accountability & multi-species mutualism. Considers narrative registers as well, how scholars, writers, artists & working people narrate the Anthropocene. Students undertake an original project in research &/or experimental narrative forms inspired by the reading. Limited to 12.No required or recommended textbooks",Graduate,Fall,,,3-0-9,"K. Brown, M. Black","W10-1, E51-275",,,,,
STS.434,Postapocalyptic Science and Technology Studies,"sExamines how science fiction is deployed as a political tool for enacting change in the present and how it has emerged as a privileged symbolic field for the expression of hopes and anxieties that drive both culture and tech industries. Explores how societies around the globe — both mainstream and in the periphery — are confronting a triple crisis that threatens not only civil order but also the very existence of certain forms of life: financial collapse which increased the awareness of mass inequality; climate change and loss of biodiversity; and the rise of ethno-nationalisms, which threaten representative democracies.Textbooks Fall 2024",Graduate,Fall,,,3-0-9,E. Nelson,"R2-5, E51-390",,,,,
STS.436,Cold War Science,"Examines the history and legacy of the Cold War on science and the environment in the US and the world. Explores scientists' new political roles after World War II, ranging from elite policy makers in the nuclear age to victims of domestic anti-Communism. Also examines the changing institutions in which various scientific fields were conducted during the postwar decades, investigating possible epistemic effects on forms of knowledge. Subject closes by considering the places of science in the US during the post-Cold War era.",Graduate,Fall,,,3-0-9,"K. Brown, D. I. Kaiser",,,,,,
STS.441,Technology and Self: Technology and Conversation,"Explores the relationship between technology and conversation, with an emphasis on conversation in our digital age when so many say they would rather text than talk. Topics center on the psychology of online life, such as the way in which we both share and withhold information about the self. Discussion about the ways new kinds of online conversation are playing out in education, the workplace, and in families and what the changes in conversation mean for collaboration, innovation, and leadership. Readings include works in history, literature, anthropology, psychology, and linguistics. Open to undergraduates by permission of instructor. Limited to 15; no listeners.",Graduate,Fall,,,2-0-10,S. Turkle,,,,,,
STS.443,"Technology and Self: Science, Technology, and Memoir","Focuses on the memoir as a window onto the relationship of creative people scientists, engineers, designers, and others to their work. Examines how class, race, ethnicity, family history, and trauma shape the person who shapes artifacts, experiments, and ideas. Readings explore the connection between material culture, identity, and personal development. Offers the opportunity, if desired, to examine personal experiences and write memoir fragments. Students taking graduate version write a longer final paper. Limited to 15; no listeners.",Graduate,Spring,,,2-0-7,S. Turkle,,,,,,
STS.444,Technology and Self: Things and Thinking,,Graduate,Spring,,,2-0-7,S. Turkle,,,,,,
STS.454,"Museums, Science and Technology","Not offered regularly; consult departmentExamines science, technology and museums. Includes regular readings and discussions about the evolution of museums of science and technology from roughly 1800 to the present. Students undertake special projects linked to the MIT Museum's re-location to a new building under construction in Kendall Square. Students act as informal consultants to the MIT Museum, offering proposals for innovative elements that will be seriously considered for inclusion in the new Museum.",Graduate,Spring,,,3-0-9,J. Durant,,,,,,
STS.458,"Science, Technology, and Human Rights","Explores the relationship of science and technology to ideas about human rights over time, including how science and technology have been mobilized historically in the defense of human rights and to assist in the pursuit of truth and justice after atrocity. Discusses literature in history, anthropology, law, and related fields to address how science and technology have historically shaped understandings of human rights and the ways that human rights frameworks have shaped the creation and use of scientific and technological capabilities.",Graduate,Fall,,,3-0-9,E. Medina,,,,,,
STS.461,History and Social Study of Computing,sExamines the history and social study of computers. Introduces students to the core and canonical literature in this area while also providing the opportunity to read and discuss more recent works from multiple disciplines.No textbook information available,Graduate,Fall,,,3-0-9,E. Medina,"T10-1, E51-393",,,,,
STS.464,Computing from the Global South,"Examines the rise and development of computing technologies in the global south. Surveys the effects of decolonization in the mid-twentieth century on the imagination of computational technologies in places such as South America, Africa, and Asia. Covers the failures and defeats of postcolonial projects when faced with the challenge of asymmetric access to global markets and capital. Identifies contemporary forms of resistance and imaginations of innovation that still endure and flourish in the global south, challenging perspectives from the global north.",Graduate,Spring,,,3-0-9,D. Banerjee,,,,,,
STS.465[J],Research Seminar on Technology and the Work of the Future,"Same subject as11.652[J]Examines the past, present and future of work from an interdisciplinary perspective, drawing from the humanities, social sciences, and cognitive science and engineering. Integrates perspectives from history, philosophy, sociology, economics, management, political science, brain and cognitive science and other relevant literatures, creating a solid foundation from which to interpret current public discourse on the subject. Discussion focuses primarily on the US; comparative perspectives from other countries incorporated into discussions and analysis. Limited to 15.",Graduate,Spring,,,3-0-9,"D. Mindell, E. B. Reynolds",,,,,,
STS.468[J],Entrepreneurship in Aerospace and Mobility Systems,"Same subject as16.445[J]Examines concepts and procedures for new venture creation in aerospace and mobility systems, and other arenas where safety, regulation, and infrastructure are significant components. Includes space systems, aviation, autonomous vehicles, urban aerial mobility, transit, and similar arenas. Includes preparation for entrepreneurship, founders' dilemmas, venture finance, financial modeling and unit economics, fundraising and pitching, recruiting, problem definition, organizational creation, value proposition, go-to-market, and product development. Includes team-based final projects on problem definition, technical innovation, and pitch preparation.",Graduate,Spring,,,3-0-9,D. A. Mindell,,,,,,
STS.471[J],Engineering Apollo: The Moon Project as a Complex System,"Same subject as16.895[J]Detailed technical and historical exploration of the Apollo project to fly humans to the moon and return them safely to Earth as an example of a complex engineering system. Emphasizes how the systems worked, the technical and social processes that produced them, mission operations, and historical significance. Guest lectures by MIT-affiliated engineers who contributed to and participated in the Apollo missions. Students work in teams on a final project analyzing an aspect of the historical project to articulate and synthesize ideas in engineering systems.",Graduate,Fall,,,4-0-8,J. A. Hoffman and D. Mindell,,,,,,
STS.474[J],"Art, Craft, Science","Same subject as21A.509[J]Credit cannot also be received for21A.501,STS.074",Graduate,Fall,,,3-0-9,H. Paxson,,,,,,
STS.477[J],"Writing: Science, Technology, and Society","Same subject as21W.820[J]Examination of different ""voices"" used to consider issues of scientific, technological, and social concern. Students write frequently and choose among a variety of non-fiction forms: historical writing, social analysis, political criticism, and policy reports. Instruction in expressing ideas clearly and in organizing a thesis-length work. Reading and writing on three case studies drawn from the history of science; the cultural study of technology and science; and policy issues.",Graduate,Spring,,21H.991 ,3-0-9,K. Manning,,,,,,
STS.482[J],"Science, Technology, and Public Policy","Same subject as17.310[J],IDS.412[J]Credit cannot also be received for17.309,IDS.055,STS.082orR156-169orR EVE 5 PM56-169orF166-156+finalsAnalysis of issues at the intersection of science, technology, public policy, and business. Cases drawn from antitrust and intellectual property rights; health and environmental policy; defense procurement and strategy; strategic trade and industrial policy; and R&D funding. Structured around theories of political economy, modified to take account of integration of uncertain technical information into public and private decision-making. Meets with 17.309 when offered concurrently.No textbook information available",Graduate,Fall,,,4-0-8,N. Selin,"MW1-2.30, E25-111",,"W EVE (6 PM), 66-156",,,
STS.487,Foundations of Information Policy,",STS.085[J]sStudies the growth of computer and communications technology and the new legal and ethical challenges that reflect tensions between individual rights and societal needs. Topics include computer crime; intellectual property restrictions on software; encryption, privacy, and national security; academic freedom and free speech. Students meet and question technologists, activists, law enforcement agents, journalists, and legal experts. Instruction and practice in oral and written communication provided. Students taking graduate version complete additional assignments. Enrollment limited.No textbook information available",Graduate,Fall,,,3-0-9,"H. Abelson, R. David Edelman, M. Fischer, D. Weitzner","R1-4, 4-153",,,,,
Special,Subjects,endendResearch and Teachingendendendendendendend,Graduate,,,,,,,,,,,
STS.S91,"Special Subject: Science, Technology and Society","URL:https://sts-program.mit.edu/academics/subjects/stss91-fa23/Addresses a special topic in Science, Technology and Society which is not offered in the regular curriculum.",Graduate,Fall,,,,E. Medina,,,,,,Units arranged
STS.S92,"Special Subject: Science, Technology and Society","Addresses subject matter in Science, Technology and Society that is not offered in the regular curriculum.Staff",Graduate,Spring,,,,,,,,,,Units arranged
Research,and Teaching,endendendendendendend,Graduate,,,,,,,,,,,
STS.800,"Teaching Science, Technology and Society",",Not offered regularly; consult departmentFor qualified graduate students serving as either a teaching assistant or instructor for subjects in Science, Technology and Society STS. Enrollment limited by availability of suitable teaching assignments.Staff",Graduate,Spring,,,,,,,,,,Units arranged
STS.840,HASTS Professional Perspective,",,,TBA.sRequired for doctoral students in the doctoral program in History, Anthropology, and Science, Technology and Society HASTS to explore and gain professional perspective through academic, non-profit, government, or industry experiences. Professional perspective options include, but are not limited to, internships, teacher training, professional development for entry into academia, or public academic engagement. For an internship experience, an offer from a company or organization is required prior to enrollment. A written narrative or report is required upon completion of the experience. Proposals subject to departmental approval in consultation with advisor.StaffNo required or recommended textbooks",Graduate,Summer,,,0-1-0 [P/D/F],,,,,,,
STS.850,Practical Experience in HASTS Fields,",,,TBA.sFor HASTS students participating in curriculum-related off-campus professional internship experiences. Before registering for this subject, students must have an offer letter from a company or organization and must receive written prior approval from their advisor.  Upon completion of the experience, students must submit a substantive final report, approved by their advisor.  Subject to departmental approval. Consult departmental graduate office. Permission of advisor.No required or recommended textbooks",Graduate,Summer,,,,K. Gardner,,,,,,Units arranged
STS.860[J],HASTS Dissertation Writing Workshop (New),"Same subject as21A.989[J],21H.960[J]URL:https://sts-program.mit.edu/academics/subjects/sts860-fa24/sBi-weekly seminar for students in the doctoral program in History, Anthropology, and Science, Technology & Society HASTS who have completed research and are in the process of writing their dissertations. Each class focuses on a particular element of the writing: organizing chapters, engaging the secondary literature, the art of the vignette, etc. Depending on student needs, some classes may be tailored to anthropological writing or to historical writing. Students are given ample opportunity to workshop draft passages and chapters. For PhD students only. PhD students outside the HASTS program require permission of instructor.No required or recommended textbooks",Graduate,Fall,,,1-0-5,W. Deringer,"W11-1, E51-165",,,,,
STS.880,Proposal Writing in HASTS,",TBA.sFor students in the doctoral program in History, Anthropology, and Science, Technology and Society HASTS who are working on their dissertation proposal and/or research grant proposal program requirement. Work is done in consultation with the student's advisor, in accordance with the guidelines in the HASTS Student Handbook. Restricted to HASTS PhD students.Fall:StaffSpring:StaffNo required or recommended textbooks",Graduate,Spring,,,,,,,,,,Units arranged
STS.901-STS.904,"Independent Study in Science, Technology, and Society",",STS.901:TBA.sSTS.902:TBA.sSTS.903:TBA.sSTS.904:TBA.sFor students who wish to pursue special studies or projects at an advanced level with a faculty member of the Program in Science, Technology, and Society.STS.901:No required or recommended textbooksSTS.902:No required or recommended textbooksSTS.903:No required or recommended textbooksSTS.904:No required or recommended textbooks",Graduate,Spring,,,,K. Brown,,,,,,Units arranged
STS.THG,Graduate Thesis,",,,TBA.sProgram of graduate research leading to the writing of a PhD thesis, to be arranged by the student with an appropriate MIT faculty member, who is the thesis advisor.No required or recommended textbooks",Graduate,Summer,,,,K. Brown,,,,,,Units arranged
System,Design and Management for a Changing World: Combined,"Offered under:1.146,16.861,EM.422,IDS.332sPractical-oriented subject that builds upon theory and methods and culminates in extended application. Covers methods to identify, value, and implement flexibility in design real options. Topics include definition of uncertainties, simulation of performance for scenarios, screening models to identify desirable flexibility, decision analysis, and multidimensional economic evaluation. Students demonstrate proficiency through an extended application to a system design of their choice. Complements research or thesis projects. Class is ""flipped"" to maximize student engagement and learning. Meets with IDS.333 in the first half of term. Enrollment limited.R. de NeufvilleTextbooks Fall 2024",Graduate,Fall,,,3-0-9,,"TR10.30-12, 1-390",,,,,
Ethics,for Engineers,",Offered under:1.082,2.900,6.9320,10.01,16.676,20.005orT3-566-148orW3-566-148orW EVE 7-9 PM66-148sFall:Spring:No textbook information available",Undergraduate,Spring,,,2-0-4,"P. Hansen, L. Guarante, D. Lauffenburger, K. Hansen","M3-5, E17-517",,,,,
Introduction,to Modeling and Simulation,"Offered under:1.021,3.021,10.333,22.00Basic concepts of computer modeling and simulation in science and engineering. Uses techniques and software for simulation, data analysis and visualization. Continuum, mesoscale, atomistic and quantum methods used to study fundamental and applied problems in physics, chemistry, materials science, mechanics, engineering, and biology. Examples drawn from the disciplines above are used to understand or characterize complex structures and materials, and complement experimental observations.",Undergraduate,Spring,True,18.03 or permission of instructor ,4-0-8,"M. Buehler, A. Hoffman",,,,,,
Management,in Engineering,"Offered under:2.96,6.9360,10.806,16.653orT101-375orR41-375orF11-135sIntroduction and overview of engineering management. Financial principles, management of innovation, technical strategy and best management practices. Case study method of instruction emphasizes participation in class discussion. Focus is on the development of individual skills and management tools. Restricted to juniors and seniors.No textbook information available",Undergraduate,Fall,,,3-1-8,"J-H Chun, A. Weiss","MW11-12.30, 35-225","M4, 1-150",,,,
UPOP,Engineering Practice Experience,",Offered under:1.EPE,2.EPE,3.EPE,6.EPE,8.EPE,10.EPE,15.EPE,16.EPE,20.EPE,22.EPEorM13-442orW113-333orW13-133orF113-333orF137-212sProvides students with skills to prepare for and excel in the world of industry. Emphasizes practical application of career theory and professional development concepts. Introduces students to relevant and timely resources for career development, provides students with tools to embark on a successful internship search, and offers networking opportunities with employers and MIT alumni. Students work in groups, led by industry mentors, to improve their resumes and cover letters, interviewing skills, networking abilities, project management, and ability to give and receive feedback. Objective is for students to be able to adapt and contribute effectively to their future employment organizations. A total of two units of credit is awarded for completion of the fall and subsequent spring term offerings. Application required; consult UPOP website for more information.Fall:Spring:No textbook information available",Undergraduate,Spring,,,0-0-1 [P/D/F],"D. Fordell, C. Greaney",,"M11, 3-333",,,,
UPOP,Engineering Practice Workshop,",,Offered under:1.EPW,2.EPW,3.EPW,6.EPW,10.EPW,16.EPW,20.EPW,22.EPWTBA.sProvides sophomores across all majors with opportunities to develop and practice communication, teamwork, and problem-solving skills to become successful professionals in the workplace, particularly in preparation for their summer industry internship. This immersive, multi-day Team Training Workshop TTW is comprised of experiential learning modules focused on expanding skills in areas that employers report being most valuable in the workplace. Modules are led by MIT faculty with the help of MIT alumni and other senior industry professionals. Skills applied through creative simulations, team problem-solving challenges, oral presentations, and networking sessions with prospective employers. Enrollment limited to those in the UPOP program.Fall:IAP:Spring:No textbook information available",Undergraduate,Spring,,2.EPE ,1-0-0 [P/D/F],C. Greaney,,,,,,
SP.100,Interphase,StaffNo textbook information available,Undergraduate,Summer,,,,"Interphase is a seven-week program designed to enhance the academic success of students entering MIT. The program has a dual focus: it gives students an introduction to the MIT experience by exposing them to the rigors of a full subject load while simultaneously preparing them for academic success beyond MIT. The program includes calculus; chemistry; physical education; physics; writing, oral presentation and teamwork skills; and supporting academic activities, including small-group learning. Students can earn transcript credit for subjects taken in the program, sometimes resulting in advanced placement in corresponding subjects taken in the Fall. Activities include day trips to area cultural, recreational, and business sites. Students participate in a range of personal and educational development seminars and activities designed to ensure their smooth transition to college life.",,,,,,Units arranged
SP.200,Teaching Development Fellows Network: Experience Designing and Facilitating Educational Development,",Project-based subject. Students design teaching-development programs and resources that support graduate student teaching in their departments. Instruction provided in advanced topics in teaching and learning, workshop design and facilitation, peer observation, and other topics in educational development under the supervision of the Teaching + Learning Lab staff. Students are selected by an application process and require permission from their department and concurrent appointment as a Teaching Development Fellow. Fellows register for this subject in the spring and fall. Enrollment limited by availability of suitable Teaching Development Fellow positions.Fall:Spring:No required or recommended textbooks",Graduate,Spring,,,1-0-1 [P/D/F],B. Hansberry,TBA,,,,,
SP.245,The Sum of All Courses,Not offered regularly; consult departmentStaff,Undergraduate,Fall,,,2-0-0 [P/D/F],"Provides an overview of the wide variety of majors and joint majors as well as minors and concentrations at MIT. At each lecture, faculty from two to three departments describe their fields. One-hour seminars and panels are given on informative and engaging topics such as, ""The Rationale Behind the MIT Curriculum,"" ""The Purpose of an Education,"" ""Integrating by Parts and Other Life Hacks,"" ""Etiquette and Why it Is Important,"" ""So, Darwin, Shakespeare, and Newton Walk into a Bar,"" ""How to Avoid Burnout,"" ""What is your Implicit Bias?,"" ""How to be a Good Human,"" ""Social Impact, Unintended Consequences, and Moral Hazards,"" and include panel discussions with MIT Administration and MIT's Distinguished Professors. Subject can count toward the 6-unit discovery-focused credit limit for first year students. Limited to 1132; preference to first-year students.",,,,,,
SP.246,The Future: Global Challenges and Questions,Not offered regularly; consult department,Undergraduate,Fall,,,2-0-1 [P/D/F],D. Darmofal,,,,,,
SP.247,"Exploring Majors at the Intersection of Engineering, Life Sciences, and Medicine","Not offered regularly; consult departmentCredit cannot also be received forSP.247AInteractive introduction to the several majors at MIT that offer curricula bridging engineering and life sciences, through presentations by faculty, current students, and alumni. Representatives of these departments Courses 1, 2, 3, 5, 6, 6-7, 7, 9, 10, and 20, as well as the BME minor cover aptitudes of typical students, culture, class offerings and roadmaps, and unique opportunities. Provides first-year students practical advice about how to select, prepare for and thrive in each major. Students taking 3-unit version of SP.247 complete reflection papers outside of class. Subject can count toward the 6-unit discovery-focused credit limit for first year students.",Undergraduate,Spring,,,1-0-2 [P/D/F],"S. A. Clarke, M. Jonas",,,,,,
SP.247A,"Exploring Majors at the Intersection of Engineering, Life Sciences, and Medicine","Not offered regularly; consult departmentCredit cannot also be received forSP.247Interactive introduction to the several majors at MIT that offer curricula bridging engineering and life sciences, through presentations by faculty, current students, and alumni. Representatives of these departments Courses 1, 2, 3, 5, 6, 6-7, 7, 9, 10, and 20, as well as the BME minor cover aptitudes of typical students, culture, class offerings and roadmaps, and unique opportunities. Provides first-year students practical advice about how to select, prepare for and thrive in each major. One-unit version of SP.247 does not include work outside of class. Subject can count toward the 6-unit discovery-focused credit limit for first year students.",Undergraduate,IAP,,,1-0-0 [P/D/F],"S. A. Clarke, M. Jonas",,,,,,
SP.248,The NEET Experience,"URL:https://shorturl.at/ILOZ1sGives first-year students an opportunity to explore various interdisciplinary domains, or threads — Autonomous Machines, Climate and Sustainability Systems, Digital Cities, and Living Machines — all of which are a part of the New Engineering Education Transformation NEET program. Students gain knowledge and skills in those domains through interactions with NEET faculty, instructors, and students and exercise their algorithmic, creative, and systems thinking through team-based challenges. Subject can count toward the 6-unit discovery-focused credit limit for first-year students.No textbook information available",Undergraduate,Fall,,,2-0-1 [P/D/F],R. Lavi,"T10-12, 35-310",,,,,
SP.250,Transforming Good Intentions into Good Outcomes,"Not offered regularly; consult departmentExplores hard choices, ethical dilemmas, and the risk of failure in the humanitarian, tech, climate change, and health sectors. Students examine case studies based on challenges faced by MIT alums, faculty, staff, students or community practitioners, and engage in simulations and facilitated discussions. Exposes students to ethical frameworks and standards for social engagement and intervention. Considers the choices faced, stakeholders involved, possible impact, and relevant MIT resources. Students produce a set of guiding questions to ask of themselves and others as they embark on social change work. Subject can count toward the 6-unit discovery-focused credit limit for first-year students. Limited to 20; preference to first-year students.",Undergraduate,Fall,,,2-0-1 [P/D/F],A. Hynd,,,,,,
SP.251,How to Change the World: Experiences from Social Entrepreneurs,,Undergraduate,Spring,,,2-0-1 [P/D/F],A. Dale,,,,,,
SP.252,Careers in Medicine,"URL:https://capd.mit.edu/careers-in-medicine-sp-252/sExplores careers in medicine and health care. Additionally, explores potential majors for students looking to go into these different careers, which include physicians, physician-scientists, research scientists, biomedical engineers, bioinformatics analysts, computational biologists, health data scientists, health system managers, and health economists. Majors could include biological engineering, biology, chemical engineering, mechanical engineering, computer science, and more. Allows students to explore how they can have an impact in the field of medicine in a variety of different ways. Exposes students to career paths that are patient-facing clinical as well as career paths that are behind the scenes. Includes field trips to nearby labs and companies. Subject can count toward the 6-unit discovery-focused credit limit for first-year students. Limited to 25; preference to first-year students.No textbook information available",Undergraduate,Fall,,,2-0-1 [P/D/F],A. Rosser,"R2-3.30, 1-150",,,,,
